<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.04	22:56:19	3937.25	3939.74	3936.47	3939.74	1057	992	388336
2025.11.04	23:02:08	3939.74	3940.09	3936.82	3936.82	874	898	348925
2025.11.04	23:14:57	3936.82	3936.98	3933.71	3933.71	668	631	768571
2025.11.04	23:26:21	3933.71	3935.61	3932.34	3932.34	618	767	684498
2025.11.04	23:30:13	3932.34	3934.11	3930.84	3934.11	442	436	231592
2025.11.04	23:35:23	3934.11	3935.04	3931.77	3931.77	261	335	309355
2025.11.04	23:50:14	3931.77	3933.58	3930.31	3933.58	1444	1381	890038
2025.11.04	23:58:59	3933.58	3933.89	3931.63	3931.75	789	811	525849
2025.11.05	01:04:30	3933.81	3936.53	3933.26	3936.53	502	488	209661
2025.11.05	01:06:05	3936.53	3939.80	3936.53	3939.80	288	278	95086
2025.11.05	01:06:55	3939.80	3940.81	3937.54	3937.54	132	155	50000
2025.11.05	01:07:08	3937.54	3937.54	3934.27	3934.27	44	65	12563
2025.11.05	01:08:24	3934.27	3936.95	3933.68	3936.95	243	189	76713
2025.11.05	01:12:11	3936.95	3938.97	3935.70	3935.70	516	489	226644
2025.11.05	01:18:36	3935.70	3938.21	3934.94	3938.21	759	768	385213
2025.11.05	01:27:20	3938.21	3939.65	3936.38	3936.38	778	746	523599
2025.11.05	01:34:27	3936.38	3938.13	3934.86	3934.86	559	490	426714
2025.11.05	01:40:26	3934.86	3936.62	3933.35	3936.62	720	556	359521
2025.11.05	01:45:02	3936.62	3938.65	3935.38	3935.38	344	277	274888
2025.11.05	01:48:50	3935.38	3937.08	3933.81	3933.81	473	465	227585
2025.11.05	01:50:47	3933.81	3934.11	3930.84	3934.11	372	313	117216
2025.11.05	01:52:56	3934.11	3937.38	3934.11	3937.38	393	293	128391
2025.11.05	01:54:47	3937.38	3937.83	3934.56	3934.56	326	309	111077
2025.11.05	01:57:19	3934.56	3936.06	3932.79	3936.06	396	373	151499
2025.11.05	02:00:04	3936.06	3937.06	3933.79	3933.79	528	515	165198
2025.11.05	02:01:08	3933.79	3936.38	3933.11	3936.38	279	245	63419
2025.11.05	02:02:59	3936.38	3938.24	3934.97	3938.24	448	414	111489
2025.11.05	02:04:43	3938.24	3941.07	3937.80	3941.07	484	410	103562
2025.11.05	02:06:20	3941.07	3943.02	3939.75	3939.75	363	344	96471
2025.11.05	02:08:08	3939.75	3940.63	3937.36	3940.63	259	261	108528
2025.11.05	02:09:10	3940.63	3941.26	3937.99	3937.99	87	145	61716
2025.11.05	02:12:23	3937.99	3938.72	3935.45	3935.45	403	510	193381
2025.11.05	02:13:09	3935.45	3938.03	3934.76	3938.03	117	141	45924
2025.11.05	02:15:11	3938.03	3940.84	3937.57	3940.84	335	286	121341
2025.11.05	02:17:36	3940.84	3942.43	3939.16	3939.16	355	426	145268
2025.11.05	02:19:16	3939.16	3942.12	3938.85	3942.12	297	331	99582
2025.11.05	02:24:52	3942.12	3942.19	3938.92	3938.92	681	842	335340
2025.11.05	02:25:46	3938.92	3939.52	3936.25	3936.25	143	181	53856
2025.11.05	02:29:54	3936.25	3937.49	3934.22	3937.49	419	424	247872
2025.11.05	02:34:00	3937.49	3939.70	3936.43	3936.43	624	733	246079
2025.11.05	02:37:21	3936.43	3937.65	3934.38	3934.38	674	673	200970
2025.11.05	02:38:47	3934.38	3935.64	3932.37	3935.64	305	295	86037
2025.11.05	02:40:49	3935.64	3936.22	3932.95	3932.95	414	460	121872
2025.11.05	02:41:41	3932.95	3932.97	3929.70	3929.70	136	193	52128
2025.11.05	02:41:48	3929.70	3932.89	3929.62	3932.89	41	28	6836
2025.11.05	02:42:25	3932.89	3934.68	3931.41	3931.41	157	176	36775
2025.11.05	02:45:54	3931.41	3933.35	3930.08	3930.08	737	785	208712
2025.11.05	02:46:23	3930.08	3932.78	3929.51	3932.78	132	92	29034
2025.11.05	02:47:04	3932.78	3936.05	3932.78	3936.05	151	139	41439
2025.11.05	02:48:59	3936.05	3937.87	3934.60	3937.87	406	417	114603
2025.11.05	02:50:09	3937.87	3937.90	3934.63	3934.63	199	231	69601
2025.11.05	02:53:39	3934.63	3935.89	3932.62	3935.89	515	663	210465
2025.11.05	02:55:50	3935.89	3936.12	3932.85	3932.85	335	413	131050
2025.11.05	02:57:49	3932.85	3936.03	3932.76	3936.03	342	352	118202
2025.11.05	02:59:00	3936.03	3938.09	3934.82	3938.09	206	219	70910
2025.11.05	03:00:00	3938.09	3940.30	3937.03	3940.30	218	251	59764
2025.11.05	03:00:24	3940.30	3942.45	3939.18	3939.18	137	164	24495
2025.11.05	03:00:58	3939.18	3942.15	3938.88	3942.15	182	194	33704
2025.11.05	03:01:24	3942.15	3942.28	3939.01	3939.01	128	150	26141
2025.11.05	03:02:18	3939.01	3940.83	3937.56	3937.56	283	303	53097
2025.11.05	03:03:01	3937.56	3940.41	3937.14	3940.41	238	245	43599
2025.11.05	03:04:59	3940.41	3943.50	3940.23	3943.50	526	524	117536
2025.11.05	03:06:52	3943.50	3944.52	3941.25	3941.25	350	442	112983
2025.11.05	03:07:59	3941.25	3942.86	3939.59	3942.86	184	202	66833
2025.11.05	03:10:28	3942.86	3944.84	3941.57	3941.57	452	593	148350
2025.11.05	03:12:22	3941.57	3943.74	3940.47	3943.74	305	430	114367
2025.11.05	03:15:04	3943.74	3945.01	3941.74	3941.74	390	531	161832
2025.11.05	03:16:30	3941.74	3942.11	3938.84	3938.84	293	412	85340
2025.11.05	03:20:46	3938.84	3941.70	3938.43	3941.70	722	880	256646
2025.11.05	03:25:02	3941.70	3944.91	3941.64	3944.91	877	872	255125
2025.11.05	03:27:15	3944.91	3948.13	3944.86	3948.13	426	426	133642
2025.11.05	03:32:03	3948.13	3948.48	3945.21	3945.21	777	910	287237
2025.11.05	03:34:26	3945.21	3947.61	3944.34	3944.34	388	415	143404
2025.11.05	03:36:00	3944.34	3946.48	3943.21	3946.48	381	331	94149
2025.11.05	03:41:02	3946.48	3947.95	3944.68	3947.95	984	851	301429
2025.11.05	03:43:09	3947.95	3949.45	3946.18	3946.18	419	386	127363
2025.11.05	03:44:34	3946.18	3947.56	3944.29	3944.29	201	245	84319
2025.11.05	03:46:27	3944.29	3944.66	3941.39	3941.39	346	349	113423
2025.11.05	03:47:41	3941.39	3941.84	3938.57	3938.57	292	319	73910
2025.11.05	03:49:28	3938.57	3939.84	3936.57	3939.84	457	437	107163
2025.11.05	03:50:52	3939.84	3941.55	3938.28	3938.28	334	306	83396
2025.11.05	03:53:54	3938.28	3939.63	3936.36	3936.36	562	535	181487
2025.11.05	03:56:40	3936.36	3937.71	3934.44	3937.71	516	515	166309
2025.11.05	03:59:13	3937.71	3940.85	3937.58	3937.58	545	502	153168
2025.11.05	04:01:12	3937.58	3939.71	3936.44	3939.71	536	440	118226
2025.11.05	04:03:04	3939.71	3940.67	3937.40	3937.40	305	280	112537
2025.11.05	04:05:10	3937.40	3938.80	3935.53	3938.80	411	319	125333
2025.11.05	04:07:16	3938.80	3941.99	3938.72	3941.99	475	423	126119
2025.11.05	04:08:20	3941.99	3945.14	3941.87	3945.14	271	246	64440
2025.11.05	04:08:57	3945.14	3945.20	3941.93	3941.93	110	159	36465
2025.11.05	04:09:35	3941.93	3943.00	3939.73	3939.73	138	137	38201
2025.11.05	04:14:18	3939.73	3942.64	3939.37	3942.64	842	737	282299
2025.11.05	04:17:05	3942.64	3942.76	3939.49	3939.49	453	403	167113
2025.11.05	04:23:23	3939.49	3940.13	3936.86	3936.86	969	897	378401
2025.11.05	04:30:28	3936.86	3939.43	3936.16	3939.43	1443	1227	424810
2025.11.05	04:32:53	3939.43	3941.98	3938.71	3941.98	687	482	144806
2025.11.05	04:36:21	3941.98	3944.97	3941.70	3944.97	754	707	207224
2025.11.05	04:37:11	3944.97	3948.13	3944.86	3948.13	282	259	50424
2025.11.05	04:39:48	3948.13	3948.86	3945.59	3945.59	609	668	156923
2025.11.05	04:42:12	3945.59	3948.15	3944.88	3948.15	519	522	143986
2025.11.05	04:44:36	3948.15	3948.39	3945.12	3945.12	379	490	143915
2025.11.05	04:48:09	3945.12	3947.76	3944.49	3947.76	781	774	212402
2025.11.05	04:55:42	3947.76	3949.70	3946.43	3949.70	1406	1629	452809
2025.11.05	05:00:17	3949.70	3951.15	3947.88	3947.88	901	1007	275146
2025.11.05	05:03:26	3947.88	3950.74	3947.47	3950.74	564	486	189046
2025.11.05	05:05:19	3950.74	3954.01	3950.74	3954.01	394	327	112481
2025.11.05	05:11:28	3954.01	3955.83	3952.56	3955.83	1268	991	368904
2025.11.05	05:12:58	3955.83	3955.89	3952.62	3952.62	189	183	89693
2025.11.05	05:20:00	3952.62	3955.68	3952.41	3955.68	851	594	422351
2025.11.05	05:28:42	3955.68	3956.18	3952.91	3952.91	941	876	522169
2025.11.05	05:32:06	3952.91	3954.96	3951.69	3954.96	416	394	203374
2025.11.05	05:37:48	3954.96	3957.98	3954.71	3957.98	729	598	342225
2025.11.05	05:45:06	3957.98	3959.50	3956.23	3959.50	880	854	437234
2025.11.05	05:48:07	3959.50	3962.53	3959.26	3962.53	626	536	180851
2025.11.05	05:53:06	3962.53	3965.09	3961.82	3961.82	787	807	298953
2025.11.05	05:58:33	3961.82	3964.15	3960.88	3960.88	636	667	327485
2025.11.05	06:10:29	3960.88	3963.06	3959.79	3963.06	1450	1437	715046
2025.11.05	06:14:57	3963.06	3964.81	3961.54	3961.54	707	705	268003
2025.11.05	06:25:10	3961.54	3963.33	3960.06	3963.33	1505	1308	613459
2025.11.05	06:31:55	3963.33	3965.72	3962.45	3965.72	1008	898	405230
2025.11.05	06:35:53	3965.72	3968.99	3965.72	3968.99	865	721	237034
2025.11.05	06:42:18	3968.99	3971.61	3968.34	3971.61	1345	1250	384979
2025.11.05	06:45:59	3971.61	3972.69	3969.42	3972.69	750	675	221009
2025.11.05	06:47:47	3972.69	3973.83	3970.56	3970.56	385	321	108277
2025.11.05	06:56:41	3970.56	3971.99	3968.72	3968.72	1392	1202	533367
2025.11.05	06:59:43	3968.72	3970.83	3967.56	3970.83	574	554	181909
2025.11.05	07:05:06	3970.83	3971.44	3968.17	3968.17	735	732	322695
2025.11.05	07:07:58	3968.17	3970.31	3967.04	3970.31	498	454	172072
2025.11.05	07:17:08	3970.31	3973.09	3969.82	3973.09	1410	1228	550241
2025.11.05	07:24:04	3973.09	3976.28	3973.01	3976.28	1034	996	415528
2025.11.05	07:28:35	3976.28	3977.93	3974.66	3977.93	926	822	270863
2025.11.05	07:30:00	3977.93	3978.74	3975.47	3975.47	388	377	84792
2025.11.05	07:36:08	3975.47	3975.98	3972.71	3972.71	1648	1639	367534
2025.11.05	07:40:18	3972.71	3973.00	3969.73	3969.73	815	770	250429
2025.11.05	07:45:45	3969.73	3971.14	3967.87	3967.87	1118	1055	326446
2025.11.05	07:48:09	3967.87	3968.18	3964.91	3964.91	616	591	143966
2025.11.05	07:49:41	3964.91	3966.08	3962.81	3966.08	431	345	92551
2025.11.05	07:52:30	3966.08	3966.35	3963.08	3963.08	487	426	168367
2025.11.05	07:57:21	3963.08	3965.60	3962.33	3962.33	849	846	290955
2025.11.05	08:00:00	3962.33	3965.16	3961.89	3965.16	669	671	159691
2025.11.05	08:00:52	3965.16	3967.03	3963.76	3967.03	222	196	51601
2025.11.05	08:03:37	3967.03	3967.74	3964.47	3964.47	444	473	164643
2025.11.05	08:04:17	3964.47	3964.98	3961.71	3964.98	165	149	40347
2025.11.05	08:06:25	3964.98	3967.50	3964.23	3964.23	472	475	127747
2025.11.05	08:07:48	3964.23	3967.23	3963.96	3967.23	318	231	82372
2025.11.05	08:13:04	3967.23	3968.88	3965.61	3965.61	717	750	316490
2025.11.05	08:18:59	3965.61	3967.08	3963.81	3967.08	848	930	354709
2025.11.05	08:20:43	3967.08	3968.07	3964.80	3964.80	340	357	103550
2025.11.05	08:21:35	3964.80	3967.56	3964.29	3967.56	196	156	52119
2025.11.05	08:22:54	3967.56	3969.19	3965.92	3965.92	300	256	78363
2025.11.05	08:24:34	3965.92	3969.12	3965.85	3969.12	258	234	100054
2025.11.05	08:29:12	3969.12	3970.29	3967.02	3967.02	685	623	277696
2025.11.05	08:32:32	3967.02	3968.60	3965.33	3968.60	630	592	200033
2025.11.05	08:34:53	3968.60	3971.67	3968.40	3971.67	465	450	141694
2025.11.05	08:39:49	3971.67	3972.97	3969.70	3969.70	752	751	295379
2025.11.05	08:41:42	3969.70	3972.54	3969.27	3972.54	324	289	112653
2025.11.05	08:45:11	3972.54	3973.74	3970.47	3970.47	685	573	209323
2025.11.05	08:49:48	3970.47	3971.97	3968.70	3968.70	705	656	276873
2025.11.05	08:51:00	3968.70	3971.92	3968.65	3971.92	218	165	71284
2025.11.05	08:53:04	3971.92	3972.01	3968.74	3968.74	308	367	124277
2025.11.05	08:57:47	3968.74	3969.29	3966.02	3966.02	659	692	283090
2025.11.05	09:08:01	3966.02	3967.28	3964.01	3964.01	2061	1954	614057
2025.11.05	09:10:51	3964.01	3967.07	3963.80	3967.07	475	427	170069
2025.11.05	09:17:04	3967.07	3968.74	3965.47	3968.74	1323	1301	372249
2025.11.05	09:19:23	3968.74	3969.46	3966.19	3966.19	406	382	138878
2025.11.05	09:27:03	3966.19	3967.05	3963.78	3967.05	993	1015	459984
2025.11.05	09:35:31	3967.05	3968.45	3965.18	3968.45	1125	991	508150
2025.11.05	09:43:25	3968.45	3970.71	3967.44	3970.71	1470	1301	474054
2025.11.05	09:49:18	3970.71	3971.79	3968.52	3971.79	806	763	352776
2025.11.05	09:56:58	3971.79	3972.23	3968.96	3972.23	1234	1190	460172
2025.11.05	10:00:24	3972.23	3974.98	3971.71	3974.98	728	669	205643
2025.11.05	10:04:55	3974.98	3976.15	3972.88	3976.15	952	972	271031
2025.11.05	10:05:42	3976.15	3979.17	3975.90	3979.17	214	159	47133
2025.11.05	10:05:56	3979.17	3982.27	3979.00	3982.27	88	58	13218
2025.11.05	10:07:19	3982.27	3985.31	3982.04	3985.31	421	396	83328
2025.11.05	10:08:02	3985.31	3986.38	3983.11	3983.11	219	208	43185
2025.11.05	10:08:17	3983.11	3985.67	3982.40	3985.67	95	72	14523
2025.11.05	10:11:13	3985.67	3987.19	3983.92	3983.92	727	663	175690
2025.11.05	10:12:40	3983.92	3984.50	3981.23	3984.50	373	349	87078
2025.11.05	10:20:40	3984.50	3984.66	3981.39	3981.39	1410	1464	479881
2025.11.05	10:22:51	3981.39	3982.86	3979.59	3982.86	418	457	131325
2025.11.05	10:23:36	3982.86	3983.21	3979.94	3979.94	184	198	44975
2025.11.05	10:25:38	3979.94	3982.46	3979.19	3982.46	374	386	121871
2025.11.05	10:27:35	3982.46	3982.98	3979.71	3979.71	322	362	116975
2025.11.05	10:31:50	3979.71	3981.58	3978.31	3981.58	765	743	255098
2025.11.05	10:38:04	3981.58	3984.27	3981.00	3984.27	979	1009	374052
2025.11.05	10:42:58	3984.27	3986.14	3982.87	3982.87	904	898	293481
2025.11.05	10:49:04	3982.87	3983.31	3980.04	3980.04	998	1044	365440
2025.11.05	10:53:15	3980.04	3982.65	3979.38	3982.65	745	684	251069
2025.11.05	10:59:34	3982.65	3983.67	3980.40	3980.40	856	815	379666
2025.11.05	11:00:35	3980.40	3980.49	3977.22	3977.22	224	215	60777
2025.11.05	11:02:52	3977.22	3980.09	3976.82	3980.09	403	385	136658
2025.11.05	11:10:07	3980.09	3981.28	3978.01	3978.01	1139	1144	434780
2025.11.05	11:13:07	3978.01	3978.70	3975.43	3975.43	513	550	179519
2025.11.05	11:16:26	3975.43	3976.25	3972.98	3972.98	551	585	199425
2025.11.05	11:20:15	3972.98	3973.33	3970.06	3970.06	680	793	228698
2025.11.05	11:24:30	3970.06	3972.11	3968.84	3968.84	514	558	255187
2025.11.05	11:28:33	3968.84	3969.00	3965.73	3965.73	813	864	242587
2025.11.05	11:31:39	3965.73	3966.91	3963.64	3966.91	627	614	186428
2025.11.05	11:39:58	3966.91	3970.09	3966.82	3970.09	1031	1150	499200
2025.11.05	11:55:22	3970.09	3972.10	3968.83	3972.10	2009	1934	923742
2025.11.05	12:01:03	3972.10	3972.73	3969.46	3969.46	539	522	340522
2025.11.05	12:02:32	3969.46	3970.24	3966.97	3966.97	246	233	88896
2025.11.05	12:03:00	3966.97	3967.12	3963.85	3963.85	127	141	27720
2025.11.05	12:03:39	3963.85	3964.75	3961.48	3961.48	180	169	39311
2025.11.05	12:03:58	3961.48	3964.63	3961.36	3964.63	108	81	19168
2025.11.05	12:04:57	3964.63	3965.03	3961.76	3961.76	230	185	58160
2025.11.05	12:06:41	3961.76	3963.66	3960.39	3960.39	356	338	104749
2025.11.05	12:06:43	3960.39	3960.39	3957.12	3957.12	11	14	1687
2025.11.05	12:06:54	3957.12	3959.16	3955.89	3959.16	63	59	10680
2025.11.05	12:08:09	3959.16	3961.19	3957.92	3961.19	349	299	75312
2025.11.05	12:09:56	3961.19	3964.44	3961.17	3964.44	333	291	106712
2025.11.05	12:15:18	3964.44	3965.86	3962.59	3962.59	653	623	321274
2025.11.05	12:18:19	3962.59	3963.47	3960.20	3963.47	419	433	181021
2025.11.05	12:20:35	3963.47	3966.68	3963.41	3966.68	366	268	136302
2025.11.05	12:32:31	3966.68	3967.30	3964.03	3964.03	1233	1075	715507
2025.11.05	12:43:18	3964.03	3967.16	3963.89	3967.16	1188	1090	647395
2025.11.05	12:47:34	3967.16	3969.11	3965.84	3969.11	639	660	255472
2025.11.05	12:50:54	3969.11	3970.13	3966.86	3966.86	430	490	200383
2025.11.05	12:53:32	3966.86	3967.74	3964.47	3964.47	370	445	158154
2025.11.05	12:55:44	3964.47	3964.95	3961.68	3961.68	424	509	131500
2025.11.05	12:59:24	3961.68	3963.56	3960.29	3963.56	565	574	219587
2025.11.05	13:03:27	3963.56	3966.42	3963.15	3966.42	540	480	243170
2025.11.05	13:06:28	3966.42	3968.87	3965.60	3965.60	414	453	180844
2025.11.05	13:10:14	3965.60	3965.60	3962.33	3962.33	550	567	226294
2025.11.05	13:12:33	3962.33	3964.01	3960.74	3960.74	339	359	138605
2025.11.05	13:23:17	3960.74	3962.27	3959.00	3959.00	1123	1293	643733
2025.11.05	13:39:32	3959.00	3960.76	3957.49	3960.76	2193	2135	974850
2025.11.05	13:41:06	3960.76	3963.55	3960.28	3963.55	273	212	94554
2025.11.05	13:46:25	3963.55	3964.70	3961.43	3964.70	751	694	318321
2025.11.05	13:51:00	3964.70	3967.57	3964.30	3967.57	715	598	274899
2025.11.05	13:53:52	3967.57	3968.31	3965.04	3965.04	527	537	171970
2025.11.05	13:58:17	3965.04	3967.61	3964.34	3967.61	784	703	265074
2025.11.05	14:02:52	3967.61	3967.72	3964.45	3964.45	691	672	275222
2025.11.05	14:05:48	3964.45	3965.34	3962.07	3965.34	573	544	175951
2025.11.05	14:17:57	3965.34	3966.61	3963.34	3966.61	1561	1486	728998
2025.11.05	14:23:16	3966.61	3969.88	3966.61	3969.88	809	840	318633
2025.11.05	14:25:33	3969.88	3969.99	3966.72	3966.72	336	373	136992
2025.11.05	14:28:59	3966.72	3968.60	3965.33	3968.60	552	523	205825
2025.11.05	14:32:03	3968.60	3969.25	3965.98	3965.98	491	527	184235
2025.11.05	14:37:15	3965.98	3967.84	3964.57	3964.57	850	850	311341
2025.11.05	14:55:40	3964.57	3966.37	3963.10	3966.37	2364	2351	1105611
2025.11.05	14:59:16	3966.37	3969.29	3966.02	3969.29	580	556	215623
2025.11.05	15:04:48	3969.29	3971.11	3967.84	3967.84	1153	1116	332268
2025.11.05	15:06:30	3967.84	3970.16	3966.89	3970.16	280	236	101104
2025.11.05	15:08:29	3970.16	3972.73	3969.46	3972.73	347	294	118883
