<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.08.03	09:03:04.491			179515	27.00000000	56
2026.08.03	09:03:04.491			179525	3.00000000	56
2026.08.03	09:03:04.493			179515	13.00000000	56
2026.08.03	09:03:04.493			179525	9.00000000	56
2026.08.03	09:03:04.493			179515	2.00000000	56
2026.08.03	09:03:04.493			179520	3.00000000	56
2026.08.03	09:03:04.493			179515	12.00000000	56
2026.08.03	09:03:04.493			179510	23.00000000	56
2026.08.03	09:03:04.494			179515	5.00000000	56
2026.08.03	09:03:04.494			179510	31.00000000	56
2026.08.03	09:03:04.494			179515	2.00000000	56
2026.08.03	09:03:04.494			179510	6.00000000	56
2026.08.03	09:03:04.494			179520	1.00000000	56
2026.08.03	09:03:04.495			179515	1.00000000	56
2026.08.03	09:03:04.495			179520	9.00000000	56
2026.08.03	09:03:04.495			179515	1.00000000	56
2026.08.03	09:03:04.495			179510	64.00000000	56
2026.08.03	09:03:04.497			179515	6.00000000	56
2026.08.03	09:03:04.497			179510	113.00000000	56
2026.08.03	09:03:04.497			179510	30.00000000	56
2026.08.03	09:03:04.497			179515	1.00000000	56
2026.08.03	09:03:04.498			179505	1.00000000	56
2026.08.03	09:03:04.499			179510	1.00000000	56
2026.08.03	09:03:04.499			179505	5.00000000	56
2026.08.03	09:03:04.499			179510	3.00000000	56
2026.08.03	09:03:04.499			179505	34.00000000	56
2026.08.03	09:03:04.500			179505	2.00000000	56
2026.08.03	09:03:04.500			179505	2.00000000	56
2026.08.03	09:03:04.500			179505	6.00000000	56
2026.08.03	09:03:04.501			179500	4.00000000	56
2026.08.03	09:03:04.501			179505	31.00000000	56
2026.08.03	09:03:04.501			179500	36.00000000	56
2026.08.03	09:03:04.502			179505	11.00000000	56
2026.08.03	09:03:04.503			179500	187.00000000	56
2026.08.03	09:03:04.504			179495	7.00000000	56
2026.08.03	09:03:04.504			179490	8.00000000	56
2026.08.03	09:03:04.505			179495	12.00000000	56
2026.08.03	09:03:04.505			179490	24.00000000	56
2026.08.03	09:03:04.505			179490	1.00000000	56
2026.08.03	09:03:04.505			179485	9.00000000	56
2026.08.03	09:03:04.505			179480	4.00000000	56
2026.08.03	09:03:04.505			179475	12.00000000	56
2026.08.03	09:03:04.505			179470	13.00000000	56
2026.08.03	09:03:04.505			179465	21.00000000	56
2026.08.03	09:03:04.506			179460	8.00000000	56
2026.08.03	09:03:04.506			179500	79.00000000	56
2026.08.03	09:03:04.506			179495	24.00000000	56
2026.08.03	09:03:04.506			179500	31.00000000	56
2026.08.03	09:03:04.507			179480	1.00000000	56
2026.08.03	09:03:04.508			179485	1.00000000	56
2026.08.03	09:03:04.508			179480	3.00000000	56
2026.08.03	09:03:04.508			179490	1.00000000	56
2026.08.03	09:03:04.508			179480	2.00000000	56
2026.08.03	09:03:04.508			179490	4.00000000	56
2026.08.03	09:03:04.508			179485	19.00000000	56
2026.08.03	09:03:04.509			179485	17.00000000	56
2026.08.03	09:03:04.509			179490	29.00000000	56
2026.08.03	09:03:04.509			179485	24.00000000	56
2026.08.03	09:03:04.510			179490	20.00000000	56
2026.08.03	09:03:04.510			179485	1.00000000	56
2026.08.03	09:03:04.510			179490	6.00000000	56
2026.08.03	09:03:04.510			179485	16.00000000	56
2026.08.03	09:03:04.511			179495	4.00000000	56
2026.08.03	09:03:04.511			179500	1.00000000	56
2026.08.03	09:03:04.511			179490	4.00000000	56
2026.08.03	09:03:04.511			179485	8.00000000	56
2026.08.03	09:03:04.512			179490	12.00000000	56
2026.08.03	09:03:04.512			179485	3.00000000	56
2026.08.03	09:03:04.513			179495	6.00000000	56
2026.08.03	09:03:04.513			179485	2.00000000	56
2026.08.03	09:03:04.513			179495	1.00000000	56
2026.08.03	09:03:04.513			179490	13.00000000	56
2026.08.03	09:03:04.515			179490	8.00000000	56
2026.08.03	09:03:04.516			179495	4.00000000	56
2026.08.03	09:03:04.516			179490	6.00000000	56
2026.08.03	09:03:04.516			179485	2.00000000	56
2026.08.03	09:03:04.517			179480	3.00000000	56
2026.08.03	09:03:04.517			179485	2.00000000	56
2026.08.03	09:03:04.517			179480	1.00000000	56
2026.08.03	09:03:04.517			179485	1.00000000	56
2026.08.03	09:03:04.518			179480	19.00000000	56
2026.08.03	09:03:04.518			179485	11.00000000	56
2026.08.03	09:03:04.519			179480	4.00000000	56
2026.08.03	09:03:04.519			179485	3.00000000	56
2026.08.03	09:03:04.519			179480	10.00000000	56
2026.08.03	09:03:04.520			179475	9.00000000	56
2026.08.03	09:03:04.520			179475	1.00000000	56
2026.08.03	09:03:04.520			179480	25.00000000	56
2026.08.03	09:03:04.522			179475	3.00000000	56
2026.08.03	09:03:04.523			179480	5.00000000	56
2026.08.03	09:03:04.523			179475	2.00000000	56
2026.08.03	09:03:04.523			179470	2.00000000	56
2026.08.03	09:03:04.523			179475	15.00000000	56
2026.08.03	09:03:04.524			179470	9.00000000	56
2026.08.03	09:03:04.525			179465	27.00000000	56
2026.08.03	09:03:04.525			179460	20.00000000	56
2026.08.03	09:03:04.525			179470	8.00000000	56
2026.08.03	09:03:04.526			179460	1.00000000	56
2026.08.03	09:03:04.526			179465	21.00000000	56
2026.08.03	09:03:04.526			179465	8.00000000	56
2026.08.03	09:03:04.527			179460	6.00000000	56
2026.08.03	09:03:04.527			179465	16.00000000	56
2026.08.03	09:03:04.528			179465	17.00000000	56
2026.08.03	09:03:04.529			179460	3.00000000	56
2026.08.03	09:03:04.529			179465	6.00000000	56
2026.08.03	09:03:04.530			179460	8.00000000	56
2026.08.03	09:03:04.533			179455	8.00000000	56
2026.08.03	09:03:04.534			179455	2.00000000	56
2026.08.03	09:03:04.534			179460	1.00000000	56
2026.08.03	09:03:04.534			179455	3.00000000	56
2026.08.03	09:03:04.535			179460	2.00000000	56
2026.08.03	09:03:04.535			179455	13.00000000	56
2026.08.03	09:03:04.535			179460	62.00000000	56
2026.08.03	09:03:04.536			179455	1.00000000	56
2026.08.03	09:03:04.536			179455	4.00000000	56
2026.08.03	09:03:04.536			179460	22.00000000	56
2026.08.03	09:03:04.537			179465	36.00000000	56
2026.08.03	09:03:04.537			179460	1.00000000	56
2026.08.03	09:03:04.537			179465	6.00000000	56
2026.08.03	09:03:04.538			179470	21.00000000	56
2026.08.03	09:03:04.539			179465	15.00000000	56
2026.08.03	09:03:04.539			179470	8.00000000	56
2026.08.03	09:03:04.540			179465	3.00000000	56
2026.08.03	09:03:04.540			179460	21.00000000	56
2026.08.03	09:03:04.541			179465	1.00000000	56
2026.08.03	09:03:04.542			179455	11.00000000	56
2026.08.03	09:03:04.543			179450	1.00000000	56
2026.08.03	09:03:04.544			179450	1.00000000	56
2026.08.03	09:03:04.544			179455	1.00000000	56
2026.08.03	09:03:04.544			179450	3.00000000	56
2026.08.03	09:03:04.544			179450	1.00000000	56
2026.08.03	09:03:04.544			179455	3.00000000	56
2026.08.03	09:03:04.545			179450	42.00000000	56
2026.08.03	09:03:04.547			179445	12.00000000	56
2026.08.03	09:03:04.559			179440	31.00000000	56
2026.08.03	09:03:04.560			179435	3.00000000	56
2026.08.03	09:03:04.560			179430	14.00000000	56
2026.08.03	09:03:04.561			179440	13.00000000	56
2026.08.03	09:03:04.562			179435	1.00000000	56
2026.08.03	09:03:04.562			179430	10.00000000	56
2026.08.03	09:03:04.563			179435	2.00000000	56
2026.08.03	09:03:04.563			179430	2.00000000	56
2026.08.03	09:03:04.564			179445	2.00000000	56
2026.08.03	09:03:04.564			179440	4.00000000	56
2026.08.03	09:03:04.564			179430	4.00000000	56
2026.08.03	09:03:04.564			179440	1.00000000	56
2026.08.03	09:03:04.564			179445	6.00000000	56
2026.08.03	09:03:04.565			179440	4.00000000	56
2026.08.03	09:03:04.565			179435	1.00000000	56
2026.08.03	09:03:04.566			179430	8.00000000	56
2026.08.03	09:03:04.567			179440	1.00000000	56
2026.08.03	09:03:04.567			179430	4.00000000	56
2026.08.03	09:03:04.568			179435	6.00000000	56
2026.08.03	09:03:04.569			179430	3.00000000	56
2026.08.03	09:03:04.569			179435	20.00000000	56
2026.08.03	09:03:04.569			179430	3.00000000	56
2026.08.03	09:03:04.570			179435	1.00000000	56
2026.08.03	09:03:04.570			179430	5.00000000	56
2026.08.03	09:03:04.576			179425	3.00000000	56
2026.08.03	09:03:04.576			179430	6.00000000	56
2026.08.03	09:03:04.577			179425	1.00000000	56
2026.08.03	09:03:04.577			179430	7.00000000	56
2026.08.03	09:03:04.577			179425	48.00000000	56
2026.08.03	09:03:04.577			179425	8.00000000	56
2026.08.03	09:03:04.578			179420	6.00000000	56
2026.08.03	09:03:04.578			179420	5.00000000	56
2026.08.03	09:03:04.578			179425	1.00000000	56
2026.08.03	09:03:04.579			179420	3.00000000	56
2026.08.03	09:03:04.579			179415	6.00000000	56
2026.08.03	09:03:04.580			179405	14.00000000	56
2026.08.03	09:03:04.580			179405	11.00000000	56
2026.08.03	09:03:04.580			179410	19.00000000	56
2026.08.03	09:03:04.583			179415	43.00000000	56
2026.08.03	09:03:04.584			179420	3.00000000	56
2026.08.03	09:03:04.584			179425	1.00000000	56
2026.08.03	09:03:04.584			179420	6.00000000	56
2026.08.03	09:03:04.584			179425	15.00000000	56
2026.08.03	09:03:04.584			179425	5.00000000	56
2026.08.03	09:03:04.585			179430	1.00000000	56
2026.08.03	09:03:04.585			179425	2.00000000	56
2026.08.03	09:03:04.585			179430	29.00000000	56
2026.08.03	09:03:04.585			179425	1.00000000	56
2026.08.03	09:03:04.585			179425	1.00000000	56
2026.08.03	09:03:04.586			179430	4.00000000	56
2026.08.03	09:03:04.586			179435	13.00000000	56
2026.08.03	09:03:04.586			179430	22.00000000	56
2026.08.03	09:03:04.587			179435	23.00000000	56
2026.08.03	09:03:04.587			179430	12.00000000	56
2026.08.03	09:03:04.588			179435	1.00000000	56
2026.08.03	09:03:04.588			179440	51.00000000	56
2026.08.03	09:03:04.588			179435	6.00000000	56
2026.08.03	09:03:04.588			179430	9.00000000	56
2026.08.03	09:03:04.588			179435	37.00000000	56
2026.08.03	09:03:04.589			179430	7.00000000	56
2026.08.03	09:03:04.589			179440	7.00000000	56
2026.08.03	09:03:04.590			179435	3.00000000	56
2026.08.03	09:03:04.590			179440	14.00000000	56
2026.08.03	09:03:04.590			179445	32.00000000	56
2026.08.03	09:03:04.590			179440	5.00000000	56
2026.08.03	09:03:04.590			179445	11.00000000	56
2026.08.03	09:03:04.591			179440	7.00000000	56
2026.08.03	09:03:04.591			179445	7.00000000	56
2026.08.03	09:03:04.591			179440	13.00000000	56
2026.08.03	09:03:04.592			179445	4.00000000	56
2026.08.03	09:03:04.592			179450	3.00000000	56
2026.08.03	09:03:04.592			179455	60.00000000	56
2026.08.03	09:03:04.592			179460	60.00000000	56
2026.08.03	09:03:04.592			179450	4.00000000	56
2026.08.03	09:03:04.592			179445	4.00000000	56
2026.08.03	09:03:04.593			179450	1.00000000	56
2026.08.03	09:03:04.593			179445	2.00000000	56
2026.08.03	09:03:04.593			179450	4.00000000	56
2026.08.03	09:03:04.594			179455	1.00000000	56
2026.08.03	09:03:04.594			179460	9.00000000	56
2026.08.03	09:03:04.596			179465	2.00000000	56
2026.08.03	09:03:04.597			179470	10.00000000	56
2026.08.03	09:03:04.597			179475	2.00000000	56
2026.08.03	09:03:04.597			179465	8.00000000	56
2026.08.03	09:03:04.597			179465	3.00000000	56
2026.08.03	09:03:04.598			179470	6.00000000	56
2026.08.03	09:03:04.598			179465	3.00000000	56
2026.08.03	09:03:04.598			179470	11.00000000	56
2026.08.03	09:03:04.598			179475	1.00000000	56
2026.08.03	09:03:04.598			179470	3.00000000	56
2026.08.03	09:03:04.599			179465	3.00000000	56
2026.08.03	09:03:04.600			179470	6.00000000	56
2026.08.03	09:03:04.600			179475	5.00000000	56
2026.08.03	09:03:04.601			179470	20.00000000	56
2026.08.03	09:03:04.602			179475	1.00000000	56
2026.08.03	09:03:04.603			179465	12.00000000	56
2026.08.03	09:03:04.604			179475	5.00000000	56
2026.08.03	09:03:04.607			179470	4.00000000	56
2026.08.03	09:03:04.607			179475	16.00000000	56
2026.08.03	09:03:04.608			179480	11.00000000	56
2026.08.03	09:03:04.608			179485	13.00000000	56
2026.08.03	09:03:04.610			179490	9.00000000	56
2026.08.03	09:03:04.616			179495	1.00000000	56
2026.08.03	09:03:04.618			179485	28.00000000	56
2026.08.03	09:03:04.622			179495	10.00000000	56
2026.08.03	09:03:04.622			179490	6.00000000	56
2026.08.03	09:03:04.625			179495	2.00000000	56
2026.08.03	09:03:04.625			179490	17.00000000	56
2026.08.03	09:03:04.626			179495	3.00000000	56
2026.08.03	09:03:04.626			179500	2.00000000	56
2026.08.03	09:03:04.626			179495	2.00000000	56
2026.08.03	09:03:04.627			179485	1.00000000	56
2026.08.03	09:03:04.628			179495	2.00000000	56
2026.08.03	09:03:04.629			179490	3.00000000	56
2026.08.03	09:03:04.630			179485	2.00000000	56
2026.08.03	09:03:04.632			179490	3.00000000	56
2026.08.03	09:03:04.632			179495	2.00000000	56
2026.08.03	09:03:04.635			179490	16.00000000	56
2026.08.03	09:03:04.640			179485	12.00000000	56
2026.08.03	09:03:04.641			179480	21.00000000	56
2026.08.03	09:03:04.641			179475	14.00000000	56
2026.08.03	09:03:04.642			179470	14.00000000	56
2026.08.03	09:03:04.642			179470	9.00000000	56
2026.08.03	09:03:04.642			179475	2.00000000	56
2026.08.03	09:03:04.642			179470	2.00000000	56
2026.08.03	09:03:04.642			179465	77.00000000	56
2026.08.03	09:03:04.643			179460	2.00000000	56
2026.08.03	09:03:04.643			179455	6.00000000	56
2026.08.03	09:03:04.644			179460	16.00000000	56
2026.08.03	09:03:04.645			179455	6.00000000	56
2026.08.03	09:03:04.646			179465	12.00000000	56
2026.08.03	09:03:04.648			179465	9.00000000	56
2026.08.03	09:03:04.652			179460	3.00000000	56
2026.08.03	09:03:04.653			179465	5.00000000	56
2026.08.03	09:03:04.654			179460	1.00000000	56
2026.08.03	09:03:04.655			179465	6.00000000	56
2026.08.03	09:03:04.659			179460	1.00000000	56
2026.08.03	09:03:04.661			179465	3.00000000	56
2026.08.03	09:03:04.665			179460	8.00000000	56
2026.08.03	09:03:04.665			179465	1.00000000	56
2026.08.03	09:03:04.665			179460	7.00000000	56
2026.08.03	09:03:04.666			179455	8.00000000	56
2026.08.03	09:03:04.666			179460	2.00000000	56
2026.08.03	09:03:04.666			179450	2.00000000	56
2026.08.03	09:03:04.667			179455	2.00000000	56
2026.08.03	09:03:04.667			179450	25.00000000	56
2026.08.03	09:03:04.668			179445	4.00000000	56
2026.08.03	09:03:04.668			179450	3.00000000	56
2026.08.03	09:03:04.668			179445	16.00000000	56
2026.08.03	09:03:04.668			179450	2.00000000	56
2026.08.03	09:03:04.668			179445	22.00000000	56
2026.08.03	09:03:04.670			179440	25.00000000	56
2026.08.03	09:03:04.670			179435	17.00000000	56
2026.08.03	09:03:04.670			179440	5.00000000	56
2026.08.03	09:03:04.671			179435	1.00000000	56
2026.08.03	09:03:04.671			179440	1.00000000	56
2026.08.03	09:03:04.672			179430	37.00000000	56
2026.08.03	09:03:04.673			179435	1.00000000	56
2026.08.03	09:03:04.673			179425	40.00000000	56
2026.08.03	09:03:04.673			179430	8.00000000	56
2026.08.03	09:03:04.673			179435	2.00000000	56
2026.08.03	09:03:04.673			179430	5.00000000	56
2026.08.03	09:03:04.673			179425	8.00000000	56
2026.08.03	09:03:04.674			179430	2.00000000	56
2026.08.03	09:03:04.674			179435	14.00000000	56
2026.08.03	09:03:04.674			179430	8.00000000	56
2026.08.03	09:03:04.675			179440	1.00000000	56
2026.08.03	09:03:04.675			179435	8.00000000	56
2026.08.03	09:03:04.676			179430	3.00000000	56
2026.08.03	09:03:04.677			179425	12.00000000	56
2026.08.03	09:03:04.677			179435	1.00000000	56
2026.08.03	09:03:04.678			179430	1.00000000	56
2026.08.03	09:03:04.678			179425	12.00000000	56
2026.08.03	09:03:04.678			179430	1.00000000	56
2026.08.03	09:03:04.678			179425	1.00000000	56
2026.08.03	09:03:04.678			179430	8.00000000	56
2026.08.03	09:03:04.679			179435	8.00000000	56
2026.08.03	09:03:04.681			179430	6.00000000	56
2026.08.03	09:03:04.681			179425	4.00000000	56
2026.08.03	09:03:04.682			179430	10.00000000	56
2026.08.03	09:03:04.682			179435	2.00000000	56
2026.08.03	09:03:04.682			179430	11.00000000	56
2026.08.03	09:03:04.682			179425	3.00000000	56
2026.08.03	09:03:04.682			179430	3.00000000	56
2026.08.03	09:03:04.682			179435	1.00000000	56
2026.08.03	09:03:04.683			179430	1.00000000	56
2026.08.03	09:03:04.684			179435	6.00000000	56
2026.08.03	09:03:04.685			179430	25.00000000	56
2026.08.03	09:03:04.686			179425	2.00000000	56
2026.08.03	09:03:04.686			179435	3.00000000	56
2026.08.03	09:03:04.687			179430	3.00000000	56
2026.08.03	09:03:04.687			179435	17.00000000	56
2026.08.03	09:03:04.689			179430	10.00000000	56
2026.08.03	09:03:04.691			179425	12.00000000	56
2026.08.03	09:03:04.691			179420	7.00000000	56
2026.08.03	09:03:04.691			179430	1.00000000	56
2026.08.03	09:03:04.691			179425	11.00000000	56
2026.08.03	09:03:04.692			179420	1.00000000	56
2026.08.03	09:03:04.692			179425	4.00000000	56
2026.08.03	09:03:04.692			179420	35.00000000	56
2026.08.03	09:03:04.693			179415	1.00000000	56
2026.08.03	09:03:04.693			179420	11.00000000	56
2026.08.03	09:03:04.693			179415	3.00000000	56
2026.08.03	09:03:04.694			179410	23.00000000	56
2026.08.03	09:03:04.694			179405	4.00000000	56
2026.08.03	09:03:04.694			179415	4.00000000	56
2026.08.03	09:03:04.694			179420	6.00000000	56
2026.08.03	09:03:04.694			179415	2.00000000	56
2026.08.03	09:03:04.694			179405	1.00000000	56
2026.08.03	09:03:04.695			179415	22.00000000	56
2026.08.03	09:03:04.696			179410	13.00000000	56
2026.08.03	09:03:04.696			179415	12.00000000	56
2026.08.03	09:03:04.697			179420	2.00000000	56
2026.08.03	09:03:04.698			179410	2.00000000	56
2026.08.03	09:03:04.699			179415	1.00000000	56
2026.08.03	09:03:04.699			179410	6.00000000	56
2026.08.03	09:03:04.699			179405	1.00000000	56
2026.08.03	09:03:04.699			179410	1.00000000	56
2026.08.03	09:03:04.699			179415	15.00000000	56
2026.08.03	09:03:04.700			179420	17.00000000	56
2026.08.03	09:03:04.700			179425	5.00000000	56
2026.08.03	09:03:04.704			179430	7.00000000	56
2026.08.03	09:03:04.704			179430	23.00000000	56
2026.08.03	09:03:04.704			179435	12.00000000	56
2026.08.03	09:03:04.705			179440	8.00000000	56
2026.08.03	09:03:04.706			179445	5.00000000	56
2026.08.03	09:03:04.706			179440	2.00000000	56
2026.08.03	09:03:04.707			179445	3.00000000	56
2026.08.03	09:03:04.707			179440	8.00000000	56
2026.08.03	09:03:04.708			179435	13.00000000	56
2026.08.03	09:03:04.709			179440	6.00000000	56
2026.08.03	09:03:04.713			179440	13.00000000	56
2026.08.03	09:03:04.714			179435	5.00000000	56
2026.08.03	09:03:04.714			179440	2.00000000	56
2026.08.03	09:03:04.714			179445	8.00000000	56
2026.08.03	09:03:04.715			179440	2.00000000	56
2026.08.03	09:03:04.715			179445	3.00000000	56
2026.08.03	09:03:04.715			179440	10.00000000	56
2026.08.03	09:03:04.718			179445	1.00000000	56
2026.08.03	09:03:04.720			179440	10.00000000	56
2026.08.03	09:03:04.721			179435	2.00000000	56
2026.08.03	09:03:04.721			179440	2.00000000	56
2026.08.03	09:03:04.721			179445	2.00000000	56
2026.08.03	09:03:04.722			179440	2.00000000	56
2026.08.03	09:03:04.722			179435	1.00000000	56
2026.08.03	09:03:04.725			179440	2.00000000	56
2026.08.03	09:03:04.725			179435	1.00000000	56
2026.08.03	09:03:04.726			179440	2.00000000	56
2026.08.03	09:03:04.726			179445	1.00000000	56
2026.08.03	09:03:04.727			179435	8.00000000	56
2026.08.03	09:03:04.727			179440	1.00000000	56
2026.08.03	09:03:04.727			179430	2.00000000	56
2026.08.03	09:03:04.728			179435	2.00000000	56
2026.08.03	09:03:04.728			179440	8.00000000	56
2026.08.03	09:03:04.728			179425	1.00000000	56
2026.08.03	09:03:04.728			179440	5.00000000	56
2026.08.03	09:03:04.728			179425	1.00000000	56
2026.08.03	09:03:04.728			179435	1.00000000	56
2026.08.03	09:03:04.728			179425	1.00000000	56
2026.08.03	09:03:04.729			179430	4.00000000	56
2026.08.03	09:03:04.730			179435	1.00000000	56
2026.08.03	09:03:04.730			179430	2.00000000	56
2026.08.03	09:03:04.730			179435	4.00000000	56
2026.08.03	09:03:04.730			179445	4.00000000	56
2026.08.03	09:03:04.731			179425	1.00000000	56
2026.08.03	09:03:04.735			179420	5.00000000	56
2026.08.03	09:03:04.737			179425	1.00000000	56
2026.08.03	09:03:04.737			179430	6.00000000	56
2026.08.03	09:03:04.737			179435	6.00000000	56
2026.08.03	09:03:04.737			179440	12.00000000	56
2026.08.03	09:03:04.738			179430	10.00000000	56
2026.08.03	09:03:04.739			179425	1.00000000	56
2026.08.03	09:03:04.743			179425	5.00000000	56
2026.08.03	09:03:04.744			179430	1.00000000	56
2026.08.03	09:03:04.745			179420	6.00000000	56
2026.08.03	09:03:04.747			179430	1.00000000	56
2026.08.03	09:03:04.748			179420	1.00000000	56
2026.08.03	09:03:04.748			179425	1.00000000	56
2026.08.03	09:03:04.748			179430	2.00000000	56
2026.08.03	09:03:04.750			179420	1.00000000	56
2026.08.03	09:03:04.752			179425	1.00000000	56
2026.08.03	09:03:04.754			179430	1.00000000	56
2026.08.03	09:03:04.755			179425	7.00000000	56
2026.08.03	09:03:04.756			179430	1.00000000	56
2026.08.03	09:03:04.757			179425	1.00000000	56
2026.08.03	09:03:04.758			179430	2.00000000	56
2026.08.03	09:03:04.759			179420	1.00000000	56
2026.08.03	09:03:04.760			179425	1.00000000	56
2026.08.03	09:03:04.762			179420	4.00000000	56
2026.08.03	09:03:04.763			179425	1.00000000	56
2026.08.03	09:03:04.764			179430	2.00000000	56
2026.08.03	09:03:04.768			179425	1.00000000	56
2026.08.03	09:03:04.768			179435	3.00000000	56
2026.08.03	09:03:04.770			179420	1.00000000	56
2026.08.03	09:03:04.771			179430	1.00000000	56
2026.08.03	09:03:04.772			179430	2.00000000	120
2026.08.03	09:03:04.774	179425	160965			6
2026.08.03	09:03:04.774		179435			4
2026.08.03	09:03:04.782			179425	1.00000000	88
2026.08.03	09:03:04.783			179430	3.00000000	120
2026.08.03	09:03:04.783			179435	5.00000000	56
2026.08.03	09:03:04.783			179440	1.00000000	56
2026.08.03	09:03:04.784			179430	1.00000000	120
2026.08.03	09:03:04.784			179425	1.00000000	88
2026.08.03	09:03:04.787			179430	4.00000000	120
2026.08.03	09:03:04.789			179435	3.00000000	56
2026.08.03	09:03:04.790			179425	1.00000000	88
2026.08.03	09:03:04.790			179430	3.00000000	120
2026.08.03	09:03:04.791			179425	1.00000000	88
2026.08.03	09:03:04.792			179430	1.00000000	120
2026.08.03	09:03:04.793			179435	1.00000000	56
2026.08.03	09:03:04.794			179430	1.00000000	120
2026.08.03	09:03:04.795			179425	5.00000000	88
2026.08.03	09:03:04.797			179420	4.00000000	88
2026.08.03	09:03:04.797			179430	1.00000000	120
2026.08.03	09:03:04.798			179420	3.00000000	88
2026.08.03	09:03:04.798			179415	9.00000000	88
2026.08.03	09:03:04.799			179420	10.00000000	88
2026.08.03	09:03:04.799			179425	10.00000000	88
2026.08.03	09:03:04.800			179420	1.00000000	88
2026.08.03	09:03:04.800			179415	2.00000000	88
2026.08.03	09:03:04.802			179420	5.00000000	88
2026.08.03	09:03:04.803			179430	1.00000000	120
2026.08.03	09:03:04.803			179435	10.00000000	56
2026.08.03	09:03:04.803			179440	38.00000000	56
2026.08.03	09:03:04.803			179445	1.00000000	56
2026.08.03	09:03:04.803			179425	8.00000000	88
