sinal_i;dt;lado;tipo;preco_ordem;hora;efic;res_rel;qual_rel;esf_rel;corpo_frac;range_sinal;contra;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
5710;2026-05-27 03:28:49;long;1;4518,01;3;0,3323044993747487;0,6593406593407216;0,0;1,9841460485226998;0,4639175257732297;388,0000000000109;3;True;4518,01;5714;alvo;388,0;388,0;False;4;1,0;3,88;2026-05-27
6093;2026-05-27 18:46:29;short;1;4434,97;18;0,9351703324385907;0,6872525732382111;0,482286700641131;0,7348956114188326;0,4793814432988712;388,0000000000109;1;True;4434,97;6095;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-27
6597;2026-05-28 18:08:04;short;1;4476,89;18;0,34739132628855607;0,52448844884483;-15,71559633027523;1,5097914344849548;0,3530927835051166;388,0000000000109;2;True;4476,89;6599;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-28
6606;2026-05-28 18:30:30;long;1;4479,96;18;0,24315100402551212;0,5828128365282138;-0,32513260942854855;2,3969172525689566;0,4226804123712065;388,0000000000109;1;True;4479,96;6608;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-28
6705;2026-05-29 04:36:41;long;1;4506,4;4;0,39305683060023133;0,5587164621813028;-1,0068575613248407;1,4214648332865634;0,38144329896903834;387,99999999991996;5;True;4506,4;6710;stop;-388,0;-388,0;False;5;-1,0;-3,88;2026-05-29
6963;2026-05-29 18:22:39;long;1;4585,41;18;0,22687664679912034;0,4158136914262747;0,11691876750700278;1,832774317201725;0,3170103092782291;388,0000000000109;2;True;4585,41;6966;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-05-29
7074;2026-06-01 03:46:09;long;1;4539,15;3;0,27468260059595917;0,61937533086267;-1,3334129669160997;2,2548764629388818;0,40206185567005476;387,99999999991996;2;True;4539,15;7081;stop;-388,0;-388,0;False;7;-1,0;-3,88;2026-06-01
7088;2026-06-01 04:17:02;short;2;4530,57;4;1,610213896421816;1,2958292919495698;-0,960757725180802;0,8047559984602882;0,8608247422680545;388,0000000000109;2;True;4530,57;7090;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-01
7482;2026-06-02 04:01:50;long;1;4477,33;4;0,5437292791344853;0,15020653398409792;-0,2991634442843784;0,27625242882487117;0,10309278350505797;388,0000000000109;6;True;4477,33;7484;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-02
7496;2026-06-02 04:25:59;long;1;4484,85;4;0,15960901290061474;0,11603094158441145;-0,24132857001994826;0,7269698588804727;0,07474226804122563;388,0000000000109;1;True;4484,85;7498;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-02
7505;2026-06-02 04:43:25;long;1;4483,34;4;0,2534680488661065;0,3659599186758069;-1,3598835583770539;1,4438108484005563;0,23195876288673206;388,0000000000109;3;True;4483,34;7507;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-02
7718;2026-06-02 18:12:39;short;1;4504,32;18;0,23503245891617242;0,4267955801107619;-0,1610112315250606;1,8159005870035358;0,2654639175259345;388,0000000000109;1;True;4504,32;7723;stop;-388,0;-388,0;False;5;-1,0;-3,88;2026-06-02
7801;2026-06-03 03:07:57;short;1;4476,03;3;0,33258927079960654;0,600968188105082;-0,12224190065992056;1,8069379888901484;0,4072164948453306;388,0000000000109;3;True;4476,03;7803;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-03
7818;2026-06-03 04:03:21;short;1;4475,54;4;3,259271717348871;0,6736017623302841;-1,7052241831301858;0,20667247800935099;0,4432989690722181;388,0000000000109;1;True;4475,54;7821;alvo;388,0;388,0;False;3;1,0;3,88;2026-06-03
8130;2026-06-03 18:16:49;long;1;4448,65;18;0,061101911989474435;0,1332963065811844;-1,7741637385427076;2,1815406791876883;0,0773195876286944;387,99999999991996;1;True;4448,65;8133;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-06-03
8265;2026-06-04 04:31:07;long;1;4469,66;4;0,12772618113921955;0,45876861524782214;-0,9499253827852852;3,5918134493332383;0,332474226804105;388,0000000000109;2;True;4469,66;8267;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-04
8547;2026-06-04 18:13:46;short;1;4470,73;18;0,03692014593814659;0,08929309632105153;0,06936147330236;2,418546678299888;0,06185567010326919;388,0000000000109;1;True;4470,73;8551;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-06-04
8612;2026-06-05 03:22:25;long;1;4454,44;3;0,25531073748825567;0,240147783251097;-0,34996132856265133;0,9406098059708274;0,16752577319581707;387,99999999991996;4;True;4454,44;8615;alvo;388,0;388,0;False;3;1,0;3,88;2026-06-05
8642;2026-06-05 04:21:19;short;1;4461,06;4;0,2175774385467325;0,175342465753437;-1,8859969881729242;0,8058853294928185;0,11855670103096166;387,99999999991996;1;True;4461,06;8644;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-05
9025;2026-06-05 18:23:20;long;2;4351,91;18;0,6813196401377811;1,4923251847640195;0,0;2,1903451725862935;0,9664948453607975;388,0000000000109;2;True;4351,91;9027;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-05
9041;2026-06-05 18:45:13;short;1;4337,74;18;0,3013318477744464;0,6195389122406479;0,3743026906318589;2,0560021013921723;0,3917525773196891;388,0000000000109;1;True;4337,74;9047;stop;-388,0;-388,0;False;6;-1,0;-3,88;2026-06-05
9302;2026-06-08 04:27:03;long;1;4320,63;4;0,40684761320131035;0,6865079365081154;-101,3403314917127;1,687383467992542;0,44587628865990314;388,0000000000109;2;True;4320,63;9304;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-08
9767;2026-06-08 18:03:26;short;1;4332,75;18;0,4201489414569594;0,6598344501379086;0,062465885166220474;1,5704774784146467;0,4175257731958364;388,0000000000109;6;True;4332,75;9769;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-08
9779;2026-06-08 18:31:17;long;2;4332,27;18;5,330369631999803;1,4330252448613965;0,0;0,2688416270906463;0,9561855670102918;388,0000000000109;2;True;4332,27;9782;alvo;388,0;388,0;False;3;1,0;3,88;2026-06-08
10171;2026-06-09 18:10:44;short;1;4295,32;18;0,45210197643754957;0,44614691302416776;-0,24932321484045625;0,9868280526877892;0,30927835051564273;388,0000000000109;2;True;4295,32;10172;alvo;388,0;388,0;False;1;1,0;3,88;2026-06-09
10453;2026-06-10 03:01:57;short;1;4219,95;3;0,24484382112447625;0,5959311424101167;0,47532298652667576;2,4339235504217647;0,43298969072171234;388,0000000000109;1;True;4219,95;10457;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-06-10
10458;2026-06-10 03:09:39;long;1;4223,53;3;0,342567076917232;0,3122497998397663;-0,1470634079431386;0,9114997350291468;0,20103092783498025;388,0000000000109;1;True;4223,53;10461;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-06-10
10465;2026-06-10 03:17:39;long;1;4222,48;3;0,09528497211875357;0,19239904988105852;-0,7827311856006262;2,0191961607678466;0,12371134020609857;387,99999999991996;1;True;4222,48;10467;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-10
10471;2026-06-10 03:27:48;long;1;4222,86;3;0,230418903854536;0,3780723968417818;-0,5830632817132534;1,6408045977011494;0,24226804123700346;388,0000000000109;3;True;4222,86;10473;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-10
10486;2026-06-10 03:48:44;short;1;4202,21;3;0,06385764182216615;0,18253968253969735;-0,6927038569420293;2,858540925266904;0,11855670103093388;388,0000000000109;1;True;4202,21;10490;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-06-10
10507;2026-06-10 04:02:16;long;1;4204,1;4;0,9485809895432383;0,43387881468382083;-0,9654371509152243;0,4573977546110666;0,280927835051576;388,0000000000109;4;True;4204,1;10510;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-06-10
10525;2026-06-10 04:14:00;short;1;4202,52;4;0,2075277206056471;0,3063988790283814;-2,4594601615878213;1,476423863444313;0,2113402061855356;387,99999999991996;3;True;4202,52;10528;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-06-10
10532;2026-06-10 04:19:46;short;2;4212,67;4;3,192659971559755;1,4196155258968182;-0,481920217127025;0,4446497712073214;0,9639175257731125;388,0000000000109;5;True;4212,67;10534;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-10
10553;2026-06-10 04:39:28;short;2;4203,23;4;4,9892238131128535;1,311228334589449;26,858823529411765;0,2628120893561104;0,896907216494942;388,0000000000109;2;True;4203,23;10555;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-10
10561;2026-06-10 04:48:36;long;1;4188,37;4;0,10240862034342268;0,284518828451999;0,24087244860612006;2,7782703008582477;0,17525773195883296;388,0000000000109;1;True;4188,37;10562;alvo;388,0;388,0;False;1;1,0;3,88;2026-06-10
11149;2026-06-10 18:03:29;long;1;4134,02;18;0,7284463981627564;0,6532999164580868;-15,718269860918953;0,8968400668955198;0,4381443298970824;388,0000000000109;1;True;4134,02;11151;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-10
11155;2026-06-10 18:06:30;long;2;4125,83;18;1,1846027075492536;1,2826989619376505;-132,06386861313868;1,0828094126100234;0,8685567010308752;388,0000000000109;2;True;4125,83;11162;stop;-388,0;-388,0;False;7;-1,0;-3,88;2026-06-10
11163;2026-06-10 18:11:50;long;2;4122,94;18;2,072419089556231;1,1744415243100987;10,78366445916115;0,5667007847151143;0,8376288659795542;387,99999999991996;4;True;4122,94;11166;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-06-10
11171;2026-06-10 18:20:02;long;1;4117,08;18;0,34309824208233947;0,565295756185468;-33,73551587301588;1,6476206720109159;0,38659793814431903;388,0000000000109;3;True;4117,08;11173;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-10
11179;2026-06-10 18:26:52;short;1;4132,16;18;0,12376833005470814;0,20985458729997822;0,04972738310517995;1,6955434981405841;0,15206185567013633;388,0000000000109;1;True;4132,16;11181;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-10
11182;2026-06-10 18:29:04;short;2;4133,14;18;3,0372307719880505;1,1475123018040438;0,2865625403381954;0,3778153153153153;0,819587628865797;388,0000000000109;2;True;4133,14;11184;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-10
11194;2026-06-10 18:39:36;long;2;4126,42;18;1,598847773374599;1,1542948038174878;-2,6048703849175174;0,7219541616405307;0,8015463917524703;388,0000000000109;2;True;4126,42;11196;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-10
11201;2026-06-10 18:47:29;short;1;4127,32;18;0,3108852599586806;0,47490755414712565;0,3863545563018676;1,5275975265287427;0,31958762886614855;388,0000000000109;1;True;4127,32;11202;alvo;388,0;388,0;False;1;1,0;3,88;2026-06-10
11213;2026-06-10 18:48:40;short;1;4111,32;18;1,5912597617731385;0,513859745996638;0,4104035188372538;0,3229263746505126;0,36340206185562235;388,0000000000109;1;True;4111,32;11215;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-10
11218;2026-06-10 18:50:14;long;1;4120,94;18;0,6136971802431886;0,5133689839570827;-2,83862052628462;0,8365184010681799;0,3711340206185301;387,99999999991996;1;True;4120,94;11220;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-10
11518;2026-06-11 03:04:51;long;2;4044,87;3;4,816600582322267;1,4058788242350675;-0,9275748215997445;0,291881961189574;0,9742268041236183;388,0000000000109;5;True;4044,87;11520;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11526;2026-06-11 03:08:49;long;2;4043,57;3;2,6902221458180953;1,1788206979543951;-0,6550558495002939;0,43818712138209553;0,8144329896907785;388,0000000000109;2;True;4043,57;11529;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-06-11
11562;2026-06-11 03:26:06;long;2;4061,51;3;0,7242672690666557;1,2214840671096847;-27,275259067357513;1,6865101037684325;0,8737113402062454;388,0000000000109;4;True;4061,51;11564;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11599;2026-06-11 03:47:18;short;1;4068,0;3;0,3721964674530491;0,3455078645694592;-2,5815624064651304;0,928294314381271;0,24742268041237356;388,0000000000109;2;True;4068,0;11601;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-11
11605;2026-06-11 03:56:22;long;1;4072,52;3;0,09773341014308029;0,4420567920183315;-0,09188068789066296;4,523087768769828;0,324742268041167;388,0000000000109;1;True;4072,52;11607;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11623;2026-06-11 04:04:23;long;1;4079,56;4;0,27627829926078207;0,1946308724831968;-0,17359476356805306;0,7044739778837374;0,14948453608245127;388,0000000000109;1;True;4079,56;11625;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11645;2026-06-11 04:13:53;short;1;4084,49;4;0,6506711401007859;0,6546972306878249;0,14991040371034048;1,0061875966811982;0,4716494845361677;388,0000000000109;1;True;4084,49;11647;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-11
11653;2026-06-11 04:20:10;long;1;4095,4;4;0,3130780955906773;0,4821140831453853;0,3084894707420713;1,539916365709941;0,35051546391754873;388,0000000000109;2;True;4095,4;11655;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11656;2026-06-11 04:23:00;long;1;4096,06;4;0,07218449064208833;0,15001045369026528;-0,867462902333073;2,0781535251673477;0,10567010309284784;388,0000000000564;1;True;4096,06;11658;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11663;2026-06-11 04:28:02;long;1;4105,99;4;0,22234511008697508;0,42396313364041854;-2,1037714285714286;1,906779661016949;0,2963917525772175;388,0000000000109;1;True;4105,99;11667;alvo;388,0;388,0;False;4;1,0;3,88;2026-06-11
11668;2026-06-11 04:34:35;long;1;4109,74;4;0,2578215170587899;0,5768609285790276;-4,348593491450635;2,237442922374429;0,39432989690713977;388,0000000000109;1;True;4109,74;11670;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11681;2026-06-11 04:46:23;long;2;4110,22;4;2,475557886881114;1,508425073017491;0,0;0,6093273281999128;0,9613402061856618;388,0000000000109;2;True;4110,22;11683;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-11
11686;2026-06-11 04:51:57;long;2;4111,05;4;0,9447597430721648;1,3776027011819079;0,0;1,4581513567695281;0,9278350515464594;388,0000000000109;3;True;4111,05;11688;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-11
12195;2026-06-11 18:30:05;short;1;4080,82;18;0,2750534078039133;0,6609569648922663;-0,9437483337776593;2,4030131826742;0,4149484536082;387,99999999996544;2;True;4080,82;12199;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-06-11
12607;2026-06-12 03:27:02;short;1;4226,64;3;0,5962325476008246;0,39860302677520076;-1,1028979680202888;0,6685361749859787;0,2757731958762059;388,0000000000109;7;True;4226,64;12608;alvo;388,0;388,0;False;1;1,0;3,88;2026-06-12
12648;2026-06-12 04:07:57;short;2;4189,13;4;1,3493866120771794;1,3326420572375388;0,0;0,9875909878682843;0,9742268041236183;388,0000000000109;2;True;4189,13;12650;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-12
13090;2026-06-12 18:01:29;short;1;4204,29;18;0,5257331188450316;0,5569898379567434;-0,025404712609681555;1,059453585842906;0,4020618556701949;388,0000000000109;1;True;4204,29;13092;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-12
13373;2026-06-15 04:18:06;short;1;4291,93;4;0,3441576288880055;0,5402139710508111;0,3622591893900417;1,569670190942086;0,3814432989689489;388,0000000000109;1;True;4291,93;13375;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-15
13897;2026-06-16 18:00:02;long;1;4325,25;18;0,33582715639637273;0,6569289489137133;-1,0935915895086057;1,956151956151956;0,46134020618554467;388,0000000000109;1;True;4325,25;13904;stop;-388,0;-388,0;False;7;-1,0;-3,88;2026-06-16
14153;2026-06-17 18:17:35;short;2;4349,57;18;2,629661871629865;1,512638580931237;0,0;0,5752217033111193;0,9768041237113033;388,0000000000109;3;True;4349,57;14155;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-17
14814;2026-06-18 03:07:12;short;1;4294,68;3;0,6279695429904945;0,32687889727598757;0,3833088853975085;0,5205330432417732;0,2139175257731711;388,0000000000109;8;True;4294,68;14818;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-06-18
14847;2026-06-18 04:02:12;short;1;4319,1;4;0,45620935422035624;0,33350757971767714;-0,17445846968988626;0,7310406431442609;0,22422680412372947;387,99999999991996;1;True;4319,1;14849;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-06-18
15186;2026-06-18 18:06:58;long;1;4252,56;18;0,2666821165062146;0,6587447478993252;-0,014476176555817196;2,4701496918109775;0,44587628865990314;388,0000000000109;1;True;4252,56;15190;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-06-18
15203;2026-06-18 18:34:12;long;1;4230,6;18;0,13290489631210983;0,16187953151154233;-0,8275123445107788;1,2180102915951971;0,11082474226811313;388,0000000000109;2;True;4230,6;15205;alvo;388,0;388,0;False;2;1,0;3,88;2026-06-18
